"COD_ITEM","NUM_ORDEM","QTDE","DESC_TECNICA"
"63848",1117001,1,"TRANSICAO EXCENTRICA SAE 1020 1,90 142,8X249,7X183,5"
"63852",1116725,2,"CJ TRANSICAO EXCENTRICA 290X233,5X193 DIAM 100 EXP"
"63854",1116810,1,"CJ TRANSICAO EXCENTRICA 363,5X313,5X221,7 DIAM 200 EXP"
"126189",1116895,1,"PERFIL U FAB PADRAO SAE 1020 3,17 106,4X53,2X1200 C/F C/E"
"76530",1117008,1,"PERFIL U FAB PADRAO SAE 1020 3,17 38,2X81,3X690 C/C C/E EXP"
"93589",1117012,12,"CHAPA FAB PLANA RETANGULAR SAE 1020 4,75 150X4,8X50 C/F"
"104028",1117015,4,"BARRA FAB CHATA ASTM A36 3,17 349,9X50,8X3,2"
"126197",1116899,1,"CONJUNTO BENGALA 50,8X1153,2X282,3 PASSO 150 ESQ EXP"
"126207",1117099,1,"RODAPE PADRAO SAE 1020 1,90 447X199,2X7 ESQ"
"126221",1116908,2,"TUBO FAB REDONDO SAE 1020 1,90 143X60X143"
"126229",1117103,1,"PERFIL U FAB ABAS DESIGUAIS SAE 1020 3,17 1005X100X76 C/F"
"126232",1117104,2,"PERFIL U FAB PADRAO SAE 1020 3,17 106,4X53,2X1000 C/F"
"126239",1116916,2,"TUBO FAB REDONDO SAE 1020 1,90 117,4X92,8X119,1"
"120300",1116826,4,"TUBO FAB QUADRADO ASTM A36 2,0 50X50X2154,0"
"120325",1116833,4,"TUBO FAB REDONDO SAE 1020 1,90 553X640,7X152,8"
"120326",1116834,2,"TUBO FAB REDONDO SAE 1020 1,90 280X470,9X152,8"
"120327",1116835,2,"TUBO FAB REDONDO SAE 1020 1,90 136,2X103,6X138,3"
"120328",1117044,8,"FECHAMENTO LATERAL SAE 1020 1,90 290,2X446,1X1,9 C/F"
"120334",1116837,1,"PERFIL U FAB PADRAO SAE 1020 3,17 2723,0X106,4X53,2 C/F"
"120339",1116841,1,"CONJUNTO RODAPE 410,5X329,3X7 UNIAO 40GRAUS ESQ EXP"
"120349",1116849,1,"PERFIL LAM FAB CANT ASTM A36 3,17 50,8X50,8X1790 C/C"
"120363",1116737,1,"PERFIL U FAB FECH 2 LADOS SAE 1020 3,17 1300,2X106,4X53,3 EXP"
"126255",1116925,1,"CJ TRAVESSA PERFIL U 1005X100X76 EXP"
"126260",1116930,1,"FECHAMENTO SUPERIOR SAE 1020 1,90 48,6X34,9X275,2"
